train,interpolation,extrapolation
137.5571978465875,171.6720754505949,836.3503666327773
104.1535379846947,116.60505390771142,757.4864151879989
90.06708564111196,95.59494452766724,747.531623041628
81.9755737023103,82.86501522277179,727.694833202742
77.22874455687295,77.63618188500057,740.8820105004276
72.77288212659934,72.15570103303732,738.2730388029773
69.61052930541507,68.11604049170585,740.1941767563549
66.98893560515336,64.06421706436815,738.0384686133851
65.1939793897373,58.42549794539446,730.5236088413548
63.271350622349416,55.77406881274459,724.7670581115694
61.78770307020754,53.60138500956043,718.9121600784184
60.54484267687937,51.61452296566315,712.6414327816348
59.364870557650065,49.89713233703991,707.150635371482
58.26938489979418,48.305260456951345,701.3836552186772
57.25635911173445,46.92323964026011,695.6170322969774
56.30951346459508,45.652957537979574,689.8308153189911
55.41945271002562,44.50984454519118,684.0455227841479
54.58186022500985,43.47823323255034,678.281140597744
53.791848551610435,42.53759944369555,672.5716019992084
53.04453784406198,41.672651485200554,666.9366109441771
52.33532666837071,40.87194286542513,661.3925982966413
51.660667067462384,40.12456773831877,655.9474635626833
51.0166467621353,39.425822029046486,650.6108371410904
50.400956541155146,38.763412939248745,645.3705687358638
49.81017480129043,38.14019463897183,640.2440821744389
49.24249809841605,37.54577749691141,635.2116309341296
48.69557789189817,36.97791964750103,630.2721780133235
48.16753725530748,36.43562818293299,625.4269058676273
47.65677402754327,35.91675609998815,620.6697986786577
47.161817960551005,35.41906706818874,615.9969661674077
46.681051034538065,34.943518824071546,611.4086431599895
46.21365823609744,34.4878455755377,606.9062889398182
45.7580402123879,34.0511697321017,602.4783646412833
45.31330317469777,33.632207405535155,598.1242403032242
44.878323755632195,33.2301785766128,593.8383421249765
44.45246239847035,32.84105974849732,589.6096577700451
44.03472948286935,32.46501974602082,585.4398491303104
43.62480755651728,32.097624307159386,581.3123368371168
43.220887340011416,31.74393990944453,577.2483870699813
42.8246629215202,31.393910593739474,573.2136864472112
42.434401527430694,31.05189749562825,569.2337252175623
42.050227021433045,30.715982909275365,565.3001849201305
41.67190689421927,30.384987589081998,561.4123032133208
41.299294104645135,30.05849064164624,557.5642735633406
40.932419763631366,29.738326817136635,553.7713764347967
40.57123806725386,29.421949278804593,550.0176045035214
40.215684823111,29.11092103785435,546.3038648889042
39.86586830221912,28.804706220927017,542.6272894484761
39.521664465004406,28.50345768066978,538.9817562452782
39.18311229253529,28.2060695709428,535.3637282841506
38.85010629030077,27.91413589046998,531.7740779574897
38.52260410413689,27.625600040658167,528.1992386441337
38.20045596063681,27.341253317315687,524.6445567289242
37.883323515658496,27.061011969317196,521.1025651175083
37.570758510211945,26.78570349623817,517.573870460573
37.261958438622486,26.515888435118153,514.056012220832
36.959338120042375,26.24673962950342,510.51757547121207
36.666355854441306,25.9376130326809,506.83313300776746
36.37425050951391,25.629802134251587,503.17660208317784
36.087352930966134,25.345699535113365,499.57376172851485
35.80670277487511,25.06965843510363,496.0043341333485
35.530559865125795,24.800347240053483,492.47640942636076
35.258569419914636,24.537521580754618,488.9919754822672
34.990409592463166,24.281781396718205,485.5520388679308
34.72603202507334,24.03228218062719,482.15291736070486
34.46525590656273,23.789442452408768,478.80155439608706
34.20802648860296,23.551690291125563,475.485858108324
33.95414230866387,23.317569522741717,472.2014796348274
33.70334131403809,23.0876074923568,468.9454915990421
33.455570973200395,22.86169624923571,465.7195425048028
33.21077363094668,22.638766399825695,462.51720696890794
32.96879319043815,22.41999519491806,459.34348348582085
32.729580794558416,22.2049559557735,456.1954503923966
32.49308340520982,21.99435172833097,453.07931370421556
32.25928490667788,21.78877483059023,449.99987199192145
32.02813908112378,21.587208616102544,446.9534879866372
31.799490308458367,21.388614395535214,443.9383356834944
31.573241124649478,21.190175780889966,440.94430636329486
31.326378695646618,21.03812331757616,437.6759631389204
31.131111725974556,20.872111225486776,435.2694211687796
30.899409179194375,20.65368050645705,432.20974066471143
30.68041101580878,20.474007696300166,429.33575693688886
30.465249341463416,20.301156986761313,426.5073910645774
30.252336745982795,20.13145532199627,423.71432304663284
30.04136104574161,19.964100254798932,420.9431157499891
29.832205183778562,19.799250159213845,418.1983904138828
29.624899881578788,19.636000142997496,415.4713089585314
29.419357544907104,19.47471826619245,412.76305535153193
29.215502448303948,19.315716476563697,410.07374002199026
29.013140411338703,19.161737680169,407.4219755159058
28.813126397831905,18.998559483446417,404.71465229007543
28.613819274813522,18.855303684990123,402.14654322978276
28.41763986316292,18.69417709943619,399.46776938424273
28.22124474652347,18.547394162636788,396.87265888941255
28.027298062474657,18.401834940589197,394.2924289491819
27.8349677385165,18.256141215363435,391.7164041876519
27.644103891489685,18.111597650525123,389.14744458210225
27.45477905928552,17.9683779584504,386.5903594538224
27.26691545233271,17.825708940800038,384.03861642828514
27.080463064269665,17.684411064057787,381.496502388906
